year,women,total,coeducation
1701,0,1,
1702,0,9,
1703,0,11,
1704,0,13,
1705,0,11,
1706,0,17,
1707,0,14,
1708,0,14,
1709,0,10,
1710,0,17,
1711,0,17,
1712,0,18,
1713,0,20,
1714,0,24,
1715,0,25,
1716,0,32,
1717,0,41,
1718,0,36,
1719,0,43,
1720,0,51,
1721,0,46,
1722,0,61,
1723,0,60,
1724,0,54,
1725,0,62,
1726,0,57,
1727,0,60,
1728,0,71,
1729,0,70,
1730,0,68,
1731,0,77,
1732,0,73,
1733,0,81,
1734,0,82,
1735,0,68,
1736,0,70,
1737,0,66,
1738,0,68,
1739,0,82,
1740,0,76,
1741,0,83,
1742,0,78,
1743,0,82,
1744,0,103,
1745,0,99,
1746,0,104,
1747,0,98,
1748,0,76,
1749,0,70,
1750,0,69,
1751,0,70,
1752,0,69,
1753,0,112,
1754,0,139,
1755,0,165,
1756,0,165,
1757,0,154,
1758,0,154,
1759,0,147,
1760,0,142,
1761,0,160,
1762,0,154,
1763,0,136,
1764,0,137,
1765,0,116,
1766,0,98,
1767,0,93,
1768,0,87,
1769,0,97,
1770,0,108,
1771,0,124,
1772,0,134,
1773,0,154,
1774,0,164,
1775,0,163,
1776,0,157,
1777,0,128,
1778,0,142,
1779,0,122,
1780,0,147,
1781,0,190,
1782,0,215,
1783,0,231,
1784,0,214,
1785,0,174,
1786,0,147,
1787,0,116,
1788,0,113,
1789,0,125,
1790,0,121,
1791,0,127,
1792,0,127,
1793,0,126,
1794,0,125,
1795,0,118,
1796,0,115,
1797,0,123,
1798,0,168,
1799,0,195,
1800,0,217,
1801,0,217,
1802,0,242,
1803,0,233,
1804,0,200,
1805,0,222,
1806,0,204,
1807,0,196,
1808,0,183,
1809,0,228,
1810,0,255,
1811,0,305,
1812,0,313,
1813,0,328,
1814,0,350,
1815,0,352,
1816,0,298,
1817,0,333,
1818,0,349,
1819,0,376,
1820,0,412,
1821,0,407,
1822,0,481,
1823,0,473,
1824,0,459,
1825,0,470,
1826,0,454,
1827,0,501,
1828,0,474,
1829,0,496,
1830,0,502,
1831,0,496,
1832,0,485,
1833,0,536,
1834,0,514,
1835,0,572,
1836,0,570,
1837,0,564,
1838,0,561,
1839,0,608,
1840,0,574,
1841,0,550,
1842,0,537,
1843,0,559,
1844,0,542,
1845,0,588,
1846,0,584,
1847,0,522,
1848,0,517,
1849,0,531,
1850,0,555,
1851,0,558,
1852,0,604,
1853,0,594,
1854,0,605,
1855,0,619,
1856,0,598,
1857,0,565,
1858,0,578,
1859,0,641,
1860,0,649,
1861,0,599,
1862,0,617,
1863,0,632,
1864,0,644,
1865,0,682,
1866,0,709,
1867,0,699,
1868,0,724,
1869,0,736,Fine Arts
1870,0,755,
1871,0,809,
1872,0,904,
1873,13,955,
1874,38,1031,
1875,20,1081,
1876,13,1021,
1877,18,1039,
1878,23,1022,
1879,30,1003,
1880,35,1037,
1881,39,1042,
1882,34,1096,
1883,45,1092,
1884,33,1086,
1885,43,1076,
1886,36,1134,
1887,51,1245,
1888,39,1365,
1889,33,1477,
1890,37,1645,
1891,31,1784,
1892,47,1969,Graduate
1893,54,2202,
1894,62,2350,
1895,62,2415,
1896,193,2615,
1897,233,2645,
1898,259,2674,
1899,276,2684,
1900,247,2542,
1901,247,2712,
1902,169,2816,
1903,290,3142,
1904,252,3138,
1905,450,3806,
1906,247,3605,
1907,108,3433,
1908,126,3450,
1909,117,3317,
1910,124,3286,
1911,128,3229,
1912,203,3288,
1913,150,3272,
1914,177,3310,
1915,204,3267,
1916,157,3274,Medicine
1917,110,2006,
1918,91,2554,
1919,163,3308,Law
1920,218,3822,
1921,209,3932,
1922,254,4540,
1923,230,4482,"Nursing, Drama"
1924,299,5156,
1925,336,5325,
1926,405,5629,
1927,396,5490,
1928,435,5790,
1929,480,6190,
1930,499,5915,
1931,476,5819,
1932,480,5631,Divinity
1933,468,5476,
1934,462,5362,
1935,475,5501,
1936,510,5493,
1937,496,5641,
1938,468,5749,
1939,465,5745,
1940,475,5696,
1941,486,2457,
1942,523,5036,
1943,545,5080,
1944,723,4056,
1945,811,3363,
1946,678,8733,
1947,581,8991,
1948,560,9017,
1949,548,8519,
1950,514,7745,
1951,519,7688,
1952,548,7567,
1953,570,7555,
1954,566,7369,
1955,569,7353,
1956,565,7664,
1957,553,7405,
1958,565,7773,
1959,554,7793,
1960,600,8129,
1961,636,8221,
1962,635,8404,
1963,682,8333,
1964,706,8614,
1965,770,8539,
1966,878,8654,Forestry
1967,956,8666,
1968,1002,8665,
1969,1718,9385,College
1970,1796,9214,
1971,1866,9231,
1972,2184,9219,
1973,2547,9427,
1974,2918,9661,
1975,3273,9721,
1976,3532,9625,
1977,3818,9826,
1978,3975,9941,
1979,4129,9957,
1980,4147,10019,
1981,4273,10103,
1982,4451,10369,
1983,4490,10448,
1984,4734,10887,
1985,4780,10898,
1986,4745,10802,
1987,4850,10873,
1988,4903,11005,
1989,4849,11021,
1990,4823,10953,
1991,4815,10893,
1992,4947,10949,
1993,5055,10975,
1994,5083,10964,
1995,5201,10986,
1996,5293,11085,
1997,5274,10982,
1998,5305,10990,
1999,5312,11017,
