year,women,annotation
1801,0,
1802,0,
1803,0,
1804,0,
1805,0,
1806,0,
1807,0,
1808,0,
1809,0,
1810,0,
1811,0,
1812,0,
1813,0,
1814,0,
1815,0,
1816,0,
1817,0,
1818,0,
1819,0,
1820,0,
1821,0,
1822,0,
1823,0,
1824,0,
1825,0,
1826,0,
1827,0,
1828,0,
1829,0,
1830,0,
1831,0,
1832,0,
1833,0,
1834,0,
1835,0,
1836,0,
1837,0,
1838,0,
1839,0,
1840,0,
1841,0,
1842,0,
1843,0,
1844,0,
1845,0,
1846,0,
1847,0,
1848,0,
1849,0,
1850,0,
1851,0,
1852,0,
1853,0,
1854,0,
1855,0,
1856,0,
1857,0,
1858,0,
1859,0,
1860,0,
1861,0,
1862,0,
1863,0,
1864,0,
1865,0,
1866,0,
1867,0,
1868,0,
1869,0,
1870,0,
1871,0,
1872,0,
1873,13,
1874,38,
1875,20,
1876,13,
1877,18,
1878,23,
1879,30,
1880,35,
1881,39,
1882,34,
1883,45,
1884,33,
1885,43,
1886,36,
1887,51,
1888,39,
1889,33,
1890,37,
1891,31,
1892,47,
1893,54,
1894,62,
1895,62,
1896,193,
1897,233,
1898,259,
1899,276,
1900,247,
1901,247,
1902,169,
1903,290,
1904,252,
1905,450,
1906,247,
1907,108,
1908,126,
1909,117,
1910,124,
1911,128,
1912,203,
1913,150,
1914,177,
1915,204,
1916,157,
1917,110,
1918,91,
1919,163,
1920,218,
1921,209,
1922,254,
1923,230,
1924,299,
1925,336,
1926,405,
1927,396,
1928,435,
1929,480,
1930,499,
1931,476,
1932,480,
1933,468,
1934,462,
1935,475,
1936,510,
1937,496,
1938,468,
1939,465,
1940,475,
1941,486,
1942,523,
1943,545,
1944,723,
1945,811,
1946,678,
1947,581,
1948,560,
1949,548,
1950,514,
1951,519,
1952,548,
1953,570,
1954,566,
1955,569,
1956,565,
1957,553,
1958,565,
1959,554,
1960,600,
1961,636,
1962,635,
1963,682,
1964,706,
1965,770,
1966,878,
1967,956,
1968,1002,
1969,1718,*
1970,1796,
1971,1866,
1972,2184,
1973,2547,
1974,2918,
1975,3273,
1976,3532,
1977,3818,
1978,3975,
1979,4129,
1980,4147,
1981,4273,
1982,4451,
1983,4490,
1984,4734,
1985,4780,
1986,4745,
1987,4850,
1988,4903,
1989,4849,
1990,4823,
1991,4815,
1992,4947,
1993,5225,
